Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
White Blood Cells (Tsd./µl)†,Intercept,1.716,0.018,"[1.679, 1.752]",2.55e-250,1.02e-249,☆☆☆,270
GFR (ml/min),Intercept,92.306,1.018,"[90.303, 94.309]",6.34e-228,2.17e-227,☆☆☆,270
Basophils abs. (Tsd./µl)†,Intercept,-3.145,0.038,"[-3.219, -3.071]",4.46e-225,1.34e-224,☆☆☆,270
Serum Glucose (mg/dl),Intercept,95.821,1.526,"[92.823, 98.819]",3.91e-222,1.04e-221,☆☆☆,270
Ferritin (µg/l)†,Intercept,4.53,0.053,"[4.427, 4.634]",1.93e-218,4.63e-218,☆☆☆,270
HDL-C (mg/dl),Intercept,65.365,1.016,"[63.366, 67.364]",9.03e-185,1.81e-184,☆☆☆,270
Total Cholesterol (mg/dl),Intercept,209.345,3.296,"[202.861, 215.829]",8.31e-185,1.81e-184,☆☆☆,270
Alkaline Phosphatase (U/l),Intercept,68.003,1.392,"[65.264, 70.742]",6.28e-148,1.16e-147,☆☆☆,270
Insulin (mIU/l)†,Intercept,1.908,0.048,"[1.813, 2.003]",1.27e-147,2.18e-147,☆☆☆,270
Uric Acid (mg/dl),Intercept,4.779,0.116,"[4.551, 5.007]",2.87e-147,4.60e-147,☆☆☆,270
Non-HDL Cholesterol (mg/dl),Intercept,143.981,3.253,"[137.583, 150.38]",4.19e-140,6.29e-140,☆☆☆,270
Neutrophils abs. (Tsd./µl)†,Intercept,1.041,0.026,"[0.99, 1.093]",4.82e-134,6.81e-134,☆☆☆,270
LDL-C (mg/dl),Intercept,127.626,3.206,"[121.319, 133.932]",4.57e-128,6.10e-128,☆☆☆,270
Eosinophils abs. (Tsd./µl)†,Intercept,-1.924,0.049,"[-2.02, -1.828]",1.91e-126,2.41e-126,☆☆☆,270
Monocytes abs. (Tsd./µl)†,Intercept,-0.785,0.022,"[-0.827, -0.742]",2.76e-126,3.32e-126,☆☆☆,270
Lymphocytes abs. (Tsd./µl)†,Intercept,0.663,0.022,"[0.62, 0.706]",7.27e-99,8.31e-99,☆☆☆,270
ESR (mm/h)†,Intercept,1.637,0.062,"[1.515, 1.758]",6.70e-86,7.30e-86,☆☆☆,268
Gamma-GT (U/l),Intercept,25.222,1.2,"[22.862, 27.582]",9.38e-62,9.79e-62,☆☆☆,269
CRP (mg/l)†,Intercept,0.016,0.082,"[-0.146, 0.178]",0.8442,0.8442,ns,270
