Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Eosinophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.074,0.074,"[-0.072, 0.22]",0.3181,0.4018,ns,275
White Blood Cells (Tsd./µl)†,Sex: Male (vs Female),0.028,0.028,"[-0.026, 0.082]",0.3113,0.4018,ns,275
Immature Granulocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.038,0.051,"[-0.063, 0.138]",0.4585,0.5502,ns,268
CRP (mg/l)†,Sex: Male (vs Female),-0.077,0.123,"[-0.319, 0.166]",0.5337,0.6100,ns,275
Non-HDL Cholesterol (mg/dl),Sex: Male (vs Female),2.78,4.986,"[-7.032, 12.591]",0.5775,0.6301,ns,275
Basophils abs. (Tsd./µl)†,Sex: Male (vs Female),-0.004,0.057,"[-0.115, 0.108]",0.9493,0.9493,ns,275
LDL-C (mg/dl),Sex: Male (vs Female),-0.472,4.928,"[-10.17, 9.226]",0.9237,0.9493,ns,275
Platelets (Tsd./µl)†,Intercept,5.565,0.019,"[5.527, 5.602]",0.00e+00,0.00e+00,☆☆☆,275
Triglycerides (mg/dl)†,Intercept,4.623,0.026,"[4.572, 4.674]",0.00e+00,0.00e+00,☆☆☆,275
Immature Granulocytes abs. (Tsd./µl)†,Intercept,-4.159,0.036,"[-4.23, -4.087]",3.03e-301,2.42e-300,☆☆☆,268
GOT/AST (U/l)†,Intercept,2.987,0.029,"[2.93, 3.044]",1.34e-273,8.05e-273,☆☆☆,275
GPT/ALT (U/l)†,Intercept,3.218,0.031,"[3.156, 3.279]",5.86e-266,2.81e-265,☆☆☆,275
White Blood Cells (Tsd./µl)†,Intercept,1.714,0.018,"[1.678, 1.75]",4.69e-256,1.88e-255,☆☆☆,275
Basophils abs. (Tsd./µl)†,Intercept,-3.146,0.037,"[-3.22, -3.073]",1.60e-229,5.47e-229,☆☆☆,275
GFR (ml/min),Intercept,92.575,1.027,"[90.555, 94.596]",5.76e-229,1.73e-228,☆☆☆,275
Serum Glucose (mg/dl),Intercept,95.927,1.524,"[92.931, 98.923]",4.73e-225,1.26e-224,☆☆☆,275
Ferritin (µg/l)†,Intercept,4.522,0.052,"[4.419, 4.624]",4.77e-223,1.15e-222,☆☆☆,275
HDL-C (mg/dl),Intercept,65.29,1.01,"[63.304, 67.276]",5.99e-188,1.31e-187,☆☆☆,275
Total Cholesterol (mg/dl),Intercept,208.975,3.317,"[202.449, 215.501]",1.33e-187,2.67e-187,☆☆☆,275
Alkaline Phosphatase (U/l),Intercept,67.788,1.373,"[65.086, 70.49]",5.86e-151,1.08e-150,☆☆☆,275
Uric Acid (mg/dl),Intercept,4.787,0.115,"[4.562, 5.013]",1.82e-150,3.12e-150,☆☆☆,275
Insulin (mIU/l)†,Intercept,1.908,0.048,"[1.813, 2.003]",5.99e-149,9.59e-149,☆☆☆,272
Non-HDL Cholesterol (mg/dl),Intercept,143.654,3.256,"[137.249, 150.059]",4.27e-142,6.41e-142,☆☆☆,275
Neutrophils abs. (Tsd./µl)†,Intercept,1.037,0.026,"[0.986, 1.088]",7.76e-136,1.10e-135,☆☆☆,275
Eosinophils abs. (Tsd./µl)†,Intercept,-1.937,0.048,"[-2.032, -1.841]",1.58e-129,2.11e-129,☆☆☆,275
LDL-C (mg/dl),Intercept,127.218,3.226,"[120.873, 133.564]",6.29e-129,7.95e-129,☆☆☆,275
Monocytes abs. (Tsd./µl)†,Intercept,-0.783,0.021,"[-0.825, -0.741]",9.84e-129,1.18e-128,☆☆☆,275
Lymphocytes abs. (Tsd./µl)†,Intercept,0.663,0.022,"[0.621, 0.706]",6.81e-101,7.78e-101,☆☆☆,275
ESR (mm/h)†,Intercept,1.636,0.062,"[1.515, 1.758]",1.46e-86,1.59e-86,☆☆☆,273
Gamma-GT (U/l),Intercept,25.064,1.182,"[22.738, 27.39]",6.79e-63,7.09e-63,☆☆☆,274
CRP (mg/l)†,Intercept,0.006,0.082,"[-0.154, 0.167]",0.9367,0.9367,ns,275
