Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Eosinophils abs. (Tsd./µl)†,Intercept,-2.294,0.055,"[-2.401, -2.186]",6.25e-118,1.07e-117,☆☆☆,235
Alkaline Phosphatase (U/l),Intercept,66.685,1.563,"[63.606, 69.764]",1.00e-112,1.61e-112,☆☆☆,235
Non-HDL Cholesterol (mg/dl),Intercept,132.405,3.447,"[125.616, 139.195]",2.53e-104,3.80e-104,☆☆☆,235
Neutrophils abs. (Tsd./µl)†,Intercept,1.001,0.03,"[0.942, 1.06]",7.88e-102,1.11e-101,☆☆☆,233
Monocytes abs. (Tsd./µl)†,Intercept,-0.822,0.024,"[-0.87, -0.773]",4.84e-101,6.45e-101,☆☆☆,235
LDL-C (mg/dl),Intercept,111.797,3.384,"[105.131, 118.463]",2.76e-91,3.49e-91,☆☆☆,235
Insulin (mIU/l)†,Intercept,1.439,0.055,"[1.33, 1.548]",1.41e-85,1.69e-85,☆☆☆,235
ESR (mm/h)†,Intercept,1.397,0.063,"[1.273, 1.52]",9.38e-63,1.07e-62,☆☆☆,235
Lymphocytes abs. (Tsd./µl)†,Intercept,0.517,0.023,"[0.471, 0.564]",3.92e-62,4.28e-62,☆☆☆,235
Gamma-GT (U/l),Intercept,22.012,1.275,"[19.5, 24.524]",1.50e-43,1.57e-43,☆☆☆,234
CRP (mg/l)†,Intercept,0.543,0.092,"[0.362, 0.724]",1.04e-08,1.04e-08,☆☆☆,235
