Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Lymphocytes abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.005,0.009,"[-0.023, 0.012]",0.5435,0.5929,ns,219
Total Cholesterol (mg/dl),"Refeeding duration (days), centered",0.065,0.655,"[-1.226, 1.356]",0.9207,0.9607,ns,223
LDL-C (mg/dl),"Refeeding duration (days), centered",0.018,0.592,"[-1.149, 1.185]",0.9757,0.9757,ns,223
GFR (ml/min),"Age (years), centered",-0.181,0.043,"[-0.265, -0.097]",3.44e-05,8.25e-04,☆☆☆,223
GOT/AST (U/l)†,"Age (years), centered",0.004,0.001,"[0.001, 0.006]",0.0090,0.1082,ns,221
GPT/ALT (U/l)†,"Age (years), centered",0.003,0.001,"[0, 0.005]",0.0203,0.1628,ns,223
Monocytes abs. (Tsd./µl)†,"Age (years), centered",0.003,0.002,"[0, 0.006]",0.0395,0.2369,ns,219
Ferritin (µg/l)†,"Age (years), centered",0.002,0.001,"[0, 0.003]",0.1147,0.5004,ns,223
HDL-C (mg/dl),"Age (years), centered",-0.034,0.022,"[-0.078, 0.01]",0.1251,0.5004,ns,223
ESR (mm/h)†,"Age (years), centered",-0.004,0.003,"[-0.01, 0.002]",0.1857,0.5753,ns,219
Gamma-GT (U/l),"Age (years), centered",0.026,0.022,"[-0.018, 0.071]",0.2397,0.5753,ns,222
Lymphocytes abs. (Tsd./µl)†,"Age (years), centered",-0.002,0.001,"[-0.004, 0.001]",0.2098,0.5753,ns,219
Triglycerides (mg/dl)†,"Age (years), centered",0.001,0.001,"[-0.001, 0.004]",0.2255,0.5753,ns,223
Eosinophils abs. (Tsd./µl)†,"Age (years), centered",-0.003,0.003,"[-0.008, 0.002]",0.3082,0.6725,ns,217
Insulin (mIU/l)†,"Age (years), centered",-0.004,0.005,"[-0.013, 0.005]",0.3888,0.7775,ns,223
Alkaline Phosphatase (U/l),"Age (years), centered",-0.004,0.032,"[-0.068, 0.059]",0.8909,0.9688,ns,223
Basophils abs. (Tsd./µl)†,"Age (years), centered",0,0.002,"[-0.004, 0.005]",0.9284,0.9688,ns,213
CRP (mg/l)†,"Age (years), centered",-0.001,0.004,"[-0.008, 0.007]",0.8545,0.9688,ns,223
Immature Granulocytes abs. (Tsd./µl)†,"Age (years), centered",0.001,0.003,"[-0.005, 0.006]",0.8389,0.9688,ns,167
LDL-C (mg/dl),"Age (years), centered",0.037,0.082,"[-0.125, 0.199]",0.6505,0.9688,ns,223
Neutrophils abs. (Tsd./µl)†,"Age (years), centered",0.001,0.002,"[-0.003, 0.004]",0.6826,0.9688,ns,208
Non-HDL Cholesterol (mg/dl),"Age (years), centered",0.028,0.085,"[-0.14, 0.196]",0.7409,0.9688,ns,223
Platelets (Tsd./µl)†,"Age (years), centered",0,0.001,"[-0.001, 0.002]",0.8018,0.9688,ns,219
Serum Glucose (mg/dl),"Age (years), centered",0.06,0.105,"[-0.146, 0.266]",0.5667,0.9688,ns,223
Uric Acid (mg/dl),"Age (years), centered",-0.003,0.008,"[-0.018, 0.012]",0.6968,0.9688,ns,223
White Blood Cells (Tsd./µl)†,"Age (years), centered",0.001,0.001,"[-0.002, 0.003]",0.6256,0.9688,ns,219
Total Cholesterol (mg/dl),"Age (years), centered",-0.001,0.092,"[-0.183, 0.18]",0.9873,0.9873,ns,223
LDL-C (mg/dl),Sex: Male (vs Female),-4.351,1.814,"[-7.927, -0.774]",0.0173,0.1494,ns,223
Non-HDL Cholesterol (mg/dl),Sex: Male (vs Female),-4.434,1.871,"[-8.121, -0.746]",0.0187,0.1494,ns,223
Total Cholesterol (mg/dl),Sex: Male (vs Female),-5.305,2.037,"[-9.319, -1.291]",0.0098,0.1494,ns,223
Basophils abs. (Tsd./µl)†,Sex: Male (vs Female),-0.09,0.048,"[-0.185, 0.005]",0.0640,0.2215,ns,213
GFR (ml/min),Sex: Male (vs Female),-1.58,0.867,"[-3.288, 0.129]",0.0698,0.2215,ns,223
GOT/AST (U/l)†,Sex: Male (vs Female),0.053,0.03,"[-0.005, 0.111]",0.0738,0.2215,ns,221
Platelets (Tsd./µl)†,Sex: Male (vs Female),-0.033,0.017,"[-0.066, 0]",0.0531,0.2215,ns,219
Uric Acid (mg/dl),Sex: Male (vs Female),0.401,0.202,"[0.004, 0.799]",0.0479,0.2215,ns,223
Insulin (mIU/l)†,Sex: Male (vs Female),0.171,0.102,"[-0.03, 0.373]",0.0950,0.2534,ns,223
CRP (mg/l)†,Sex: Male (vs Female),-0.126,0.084,"[-0.291, 0.039]",0.1342,0.3222,ns,223
Gamma-GT (U/l),Sex: Male (vs Female),-0.691,0.488,"[-1.652, 0.271]",0.1583,0.3392,ns,222
Lymphocytes abs. (Tsd./µl)†,Sex: Male (vs Female),-0.036,0.026,"[-0.088, 0.016]",0.1696,0.3392,ns,219
