term,estimate,std.error,statistic,p.value,conf.low,conf.high,phase,outcome,predictor,n_subjects,n_obs
age,3.815404637057618e-4,5.306532085359563e-4,0.7190015203307853,0.47280092384955497,-6.635001272339398e-4,0.0014265810546454634,fasting_T0T1,Ferritin (µg/l),AIP_T0,261,261
fasting_duration_measured,0.008083471895694671,0.004656850246037932,1.7358238870945277,0.08380767255623837,-0.0010874846815092185,0.017254428472898563,fasting_T0T1,Ferritin (µg/l),AIP_T0,261,261
sexM,0.0654343510596131,0.04645811506925943,1.4084590165155004,0.1602180603066077,-0.026057823575252645,0.15692652569447885,fasting_T0T1,Ferritin (µg/l),AIP_T0,261,261
BMI_baseline,1.2361174106860568e-4,0.0042043011960383,0.029401257261274395,0.9765676580120682,-0.008156118477689982,0.008403341959827192,fasting_T0T1,Ferritin (µg/l),TyG_T0,261,261
TyG_T0,0.04087182164415745,0.022076461038153215,1.8513756155717858,0.06527619712901188,-0.0026044025980741722,0.08434804588638908,fasting_T0T1,Ferritin (µg/l),TyG_T0,261,261
Y_T0,0.7707081188520583,0.026415471212706147,29.17639108710424,4.457576832340011e-83,0.7186868755955849,0.8227293621085316,fasting_T0T1,Ferritin (µg/l),TyG_T0,261,261
age,2.8922733571061526e-4,5.29309533245093e-4,0.546423817340714,0.5852542997075562,-7.531670916001714e-4,0.001331621763021402,fasting_T0T1,Ferritin (µg/l),TyG_T0,261,261
fasting_duration_measured,0.007585532628574073,0.004686375452172487,1.6186352770898047,0.10676677496234406,-0.0016435693407053685,0.016814634597853515,fasting_T0T1,Ferritin (µg/l),TyG_T0,261,261
sexM,0.08201668518457161,0.0441813868905717,1.856362847723867,0.0645597892923612,-0.004991820411847744,0.16902519078099099,fasting_T0T1,Ferritin (µg/l),TyG_T0,261,261
BMI_baseline,-7.048251655829042e-4,0.004389466256767844,-0.16057195211289718,0.8725581775908531,-0.009349209741223753,0.007939559410057945,fasting_T0T1,Ferritin (µg/l),logHOMA_T0,261,261
Y_T0,0.7775155090231131,0.025890579520427327,30.03082678816299,1.5061581748521515e-85,0.7265279599297104,0.8285030581165157,fasting_T0T1,Ferritin (µg/l),logHOMA_T0,261,261
