Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Gamma-GT (U/l),"Age (years), centered",0.009,0.014,"[-0.019, 0.037]",0.5361,0.6144,ns,258
HDL-C (mg/dl),"Age (years), centered",-0.008,0.012,"[-0.032, 0.015]",0.4881,0.6144,ns,259
Uric Acid (mg/dl),"Age (years), centered",0.002,0.003,"[-0.004, 0.008]",0.5376,0.6144,ns,259
Eosinophils abs. (Tsd./µl)†,"Age (years), centered",0,0.001,"[-0.001, 0.002]",0.5656,0.6170,ns,252
Insulin (mIU/l)†,"Age (years), centered",0.001,0.001,"[-0.002, 0.003]",0.6541,0.6825,ns,259
Serum Glucose (mg/dl),"Age (years), centered",0.012,0.033,"[-0.052, 0.076]",0.7095,0.7095,ns,259
Uric Acid (mg/dl),Sex: Male (vs Female),1.474,0.273,"[0.937, 2.011]",1.51e-07,3.62e-06,☆☆☆,259
Non-HDL Cholesterol (mg/dl),Sex: Male (vs Female),-11.169,3.873,"[-18.796, -3.542]",0.0043,0.0512,ns,259
GFR (ml/min),Sex: Male (vs Female),-2.515,1.074,"[-4.631, -0.399]",0.0200,0.0962,ns,259
Insulin (mIU/l)†,Sex: Male (vs Female),0.229,0.097,"[0.038, 0.421]",0.0192,0.0962,ns,259
Lymphocytes abs. (Tsd./µl)†,Sex: Male (vs Female),-0.077,0.031,"[-0.138, -0.017]",0.0124,0.0962,ns,254
Total Cholesterol (mg/dl),Sex: Male (vs Female),-8.589,3.858,"[-16.188, -0.99]",0.0269,0.1076,ns,259
Ferritin (µg/l)†,Sex: Male (vs Female),0.093,0.044,"[0.007, 0.179]",0.0338,0.1159,ns,259
Eosinophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.116,0.059,"[0, 0.232]",0.0502,0.1505,ns,252
ESR (mm/h)†,Sex: Male (vs Female),0.133,0.081,"[-0.026, 0.292]",0.1013,0.2701,ns,253
LDL-C (mg/dl),Sex: Male (vs Female),-5.775,3.976,"[-13.606, 2.056]",0.1476,0.3543,ns,259
CRP (mg/l)†,Sex: Male (vs Female),-0.156,0.116,"[-0.385, 0.072]",0.1793,0.3873,ns,259
GPT/ALT (U/l)†,Sex: Male (vs Female),-0.06,0.046,"[-0.15, 0.031]",0.1936,0.3873,ns,258
Gamma-GT (U/l),Sex: Male (vs Female),-1.254,1.066,"[-3.353, 0.845]",0.2405,0.4122,ns,258
Serum Glucose (mg/dl),Sex: Male (vs Female),2.942,2.436,"[-1.856, 7.74]",0.2283,0.4122,ns,259
Triglycerides (mg/dl)†,Sex: Male (vs Female),-0.033,0.034,"[-0.1, 0.034]",0.3331,0.5330,ns,259
Monocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.029,0.033,"[-0.036, 0.095]",0.3776,0.5664,ns,254
GOT/AST (U/l)†,Sex: Male (vs Female),0.031,0.045,"[-0.057, 0.119]",0.4925,0.6953,ns,256
Basophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.023,0.045,"[-0.066, 0.112]",0.6122,0.7791,ns,247
White Blood Cells (Tsd./µl)†,Sex: Male (vs Female),-0.014,0.028,"[-0.07, 0.041]",0.6168,0.7791,ns,257
Immature Granulocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.021,0.056,"[-0.09, 0.132]",0.7047,0.8457,ns,212
Neutrophils abs. (Tsd./µl)†,Sex: Male (vs Female),-0.011,0.043,"[-0.095, 0.074]",0.8028,0.9175,ns,249
Alkaline Phosphatase (U/l),Sex: Male (vs Female),0.163,1.222,"[-2.244, 2.571]",0.8938,0.9522,ns,259
HDL-C (mg/dl),Sex: Male (vs Female),0.06,1.008,"[-1.924, 2.045]",0.9522,0.9522,ns,259
Platelets (Tsd./µl)†,Sex: Male (vs Female),0.002,0.02,"[-0.038, 0.042]",0.9209,0.9522,ns,257
