Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
Monocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.044,0.036,"[-0.026, 0.114]",0.2180,0.3737,ns,219
Eosinophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.031,0.056,"[-0.08, 0.142]",0.5814,0.7752,ns,217
Gamma-GT (U/l),Sex: Male (vs Female),-0.32,0.471,"[-1.248, 0.609]",0.4982,0.7752,ns,222
Neutrophils abs. (Tsd./µl)†,Sex: Male (vs Female),0.023,0.041,"[-0.058, 0.105]",0.5710,0.7752,ns,208
Triglycerides (mg/dl)†,Sex: Male (vs Female),-0.016,0.026,"[-0.067, 0.035]",0.5431,0.7752,ns,223
Immature Granulocytes abs. (Tsd./µl)†,Sex: Male (vs Female),0.029,0.059,"[-0.089, 0.146]",0.6295,0.7951,ns,167
Serum Glucose (mg/dl),Sex: Male (vs Female),0.917,2.202,"[-3.423, 5.257]",0.6776,0.8132,ns,223
Alkaline Phosphatase (U/l),Sex: Male (vs Female),-0.179,0.684,"[-1.527, 1.169]",0.7936,0.9070,ns,223
ESR (mm/h)†,Sex: Male (vs Female),0.007,0.068,"[-0.127, 0.14]",0.9228,0.9228,ns,219
HDL-C (mg/dl),Sex: Male (vs Female),-0.09,0.52,"[-1.115, 0.935]",0.8625,0.9228,ns,223
White Blood Cells (Tsd./µl)†,Sex: Male (vs Female),0.003,0.026,"[-0.049, 0.055]",0.9204,0.9228,ns,219
Platelets (Tsd./µl)†,Intercept,5.479,0.011,"[5.456, 5.501]",9.88e-324,2.37e-322,☆☆☆,219
Ferritin (µg/l)†,Intercept,5.32,0.014,"[5.292, 5.348]",1.39e-305,1.67e-304,☆☆☆,223
Triglycerides (mg/dl)†,Intercept,4.559,0.017,"[4.525, 4.593]",1.76e-271,1.41e-270,☆☆☆,223
GPT/ALT (U/l)†,Intercept,3.549,0.018,"[3.513, 3.584]",5.49e-245,3.29e-244,☆☆☆,223
GOT/AST (U/l)†,Intercept,3.353,0.02,"[3.314, 3.392]",9.10e-229,4.37e-228,☆☆☆,221
HDL-C (mg/dl),Intercept,51.528,0.332,"[50.873, 52.183]",1.42e-222,5.66e-222,☆☆☆,223
GFR (ml/min),Intercept,87.533,0.575,"[86.4, 88.666]",5.58e-221,1.91e-220,☆☆☆,223
Alkaline Phosphatase (U/l),Intercept,63.464,0.458,"[62.561, 64.367]",3.16e-212,9.47e-212,☆☆☆,223
Total Cholesterol (mg/dl),Intercept,173.062,1.342,"[170.417, 175.707]",1.34e-205,3.58e-205,☆☆☆,223
Non-HDL Cholesterol (mg/dl),Intercept,121.139,1.233,"[118.709, 123.569]",1.23e-180,2.96e-180,☆☆☆,223
Basophils abs. (Tsd./µl)†,Intercept,-3.195,0.033,"[-3.26, -3.13]",4.64e-173,1.01e-172,☆☆☆,213
LDL-C (mg/dl),Intercept,101.302,1.186,"[98.963, 103.64]",7.45e-168,1.49e-167,☆☆☆,223
White Blood Cells (Tsd./µl)†,Intercept,1.566,0.018,"[1.53, 1.601]",9.41e-168,1.74e-167,☆☆☆,219
Gamma-GT (U/l),Intercept,22.148,0.319,"[21.519, 22.776]",8.30e-149,1.42e-148,☆☆☆,222
Immature Granulocytes abs. (Tsd./µl)†,Intercept,-4.366,0.042,"[-4.449, -4.283]",5.46e-148,8.73e-148,☆☆☆,167
Uric Acid (mg/dl),Intercept,7.26,0.116,"[7.031, 7.488]",4.17e-140,6.26e-140,☆☆☆,223
Serum Glucose (mg/dl),Intercept,86.994,1.47,"[84.096, 89.892]",4.98e-135,7.03e-135,☆☆☆,223
Eosinophils abs. (Tsd./µl)†,Intercept,-2.163,0.038,"[-2.237, -2.089]",4.45e-130,5.93e-130,☆☆☆,217
Monocytes abs. (Tsd./µl)†,Intercept,-0.853,0.024,"[-0.899, -0.806]",2.19e-92,2.76e-92,☆☆☆,219
Lymphocytes abs. (Tsd./µl)†,Intercept,0.53,0.018,"[0.495, 0.565]",6.92e-78,8.30e-78,☆☆☆,219
Neutrophils abs. (Tsd./µl)†,Intercept,0.839,0.028,"[0.784, 0.895]",9.86e-76,1.13e-75,☆☆☆,208
ESR (mm/h)†,Intercept,1.266,0.046,"[1.175, 1.356]",6.76e-72,7.37e-72,☆☆☆,219
Insulin (mIU/l)†,Intercept,1.636,0.067,"[1.504, 1.767]",3.55e-64,3.71e-64,☆☆☆,223
CRP (mg/l)†,Intercept,0.186,0.055,"[0.078, 0.295]",8.72e-04,8.72e-04,☆☆☆,223
