Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
LDL-C (mg/dl),Sex: Male (vs Female),-2.396,5.242,"[-12.718, 7.927]",0.6481,0.6797,ns,266
ESR (mm/h)†,Sex: Male (vs Female),0.016,0.093,"[-0.167, 0.2]",0.8614,0.8614,ns,265
Platelets (Tsd./µl)†,Intercept,5.542,0.02,"[5.502, 5.582]",0.00e+00,0.00e+00,☆☆☆,265
Triglycerides (mg/dl)†,Intercept,4.556,0.021,"[4.515, 4.597]",0.00e+00,0.00e+00,☆☆☆,266
Immature Granulocytes abs. (Tsd./µl)†,Intercept,-4.322,0.033,"[-4.386, -4.257]",8.76e-294,7.01e-293,☆☆☆,252
GOT/AST (U/l)†,Intercept,3.391,0.032,"[3.328, 3.455]",4.54e-231,2.72e-230,☆☆☆,266
GPT/ALT (U/l)†,Intercept,3.507,0.035,"[3.438, 3.577]",2.28e-220,1.10e-219,☆☆☆,266
White Blood Cells (Tsd./µl)†,Intercept,1.633,0.02,"[1.594, 1.672]",2.11e-216,8.45e-216,☆☆☆,265
Ferritin (µg/l)†,Intercept,5.182,0.053,"[5.078, 5.285]",3.47e-212,1.19e-211,☆☆☆,266
Basophils abs. (Tsd./µl)†,Intercept,-3.191,0.039,"[-3.268, -3.113]",6.40e-205,1.92e-204,☆☆☆,265
GFR (ml/min),Intercept,90.066,1.084,"[87.931, 92.2]",1.75e-198,4.68e-198,☆☆☆,266
Serum Glucose (mg/dl),Intercept,81.121,1.419,"[78.329, 83.912]",5.15e-183,1.24e-182,☆☆☆,266
HDL-C (mg/dl),Intercept,54.5,0.934,"[52.66, 56.34]",4.43e-155,9.66e-155,☆☆☆,266
Total Cholesterol (mg/dl),Intercept,186.754,3.384,"[180.091, 193.416]",1.80e-149,3.59e-149,☆☆☆,266
Uric Acid (mg/dl),Intercept,7.295,0.152,"[6.996, 7.595]",4.85e-142,8.95e-142,☆☆☆,266
Eosinophils abs. (Tsd./µl)†,Intercept,-2.292,0.051,"[-2.393, -2.191]",1.91e-132,3.27e-132,☆☆☆,265
Alkaline Phosphatase (U/l),Intercept,66.638,1.465,"[63.753, 69.524]",6.69e-128,1.07e-127,☆☆☆,266
Non-HDL Cholesterol (mg/dl),Intercept,132.219,3.347,"[125.63, 138.807]",2.83e-114,4.25e-114,☆☆☆,266
Monocytes abs. (Tsd./µl)†,Intercept,-0.818,0.023,"[-0.864, -0.772]",7.69e-111,1.09e-110,☆☆☆,265
Neutrophils abs. (Tsd./µl)†,Intercept,0.989,0.029,"[0.931, 1.046]",3.69e-108,4.92e-108,☆☆☆,263
LDL-C (mg/dl),Intercept,111.607,3.274,"[105.162, 118.052]",4.92e-100,6.22e-100,☆☆☆,266
Insulin (mIU/l)†,Intercept,1.464,0.054,"[1.358, 1.571]",2.26e-92,2.72e-92,☆☆☆,266
Lymphocytes abs. (Tsd./µl)†,Intercept,0.525,0.022,"[0.481, 0.569]",7.08e-70,8.10e-70,☆☆☆,265
ESR (mm/h)†,Intercept,1.389,0.059,"[1.273, 1.506]",2.12e-69,2.31e-69,☆☆☆,265
Gamma-GT (U/l),Intercept,21.619,1.168,"[19.319, 23.919]",1.09e-49,1.14e-49,☆☆☆,265
CRP (mg/l)†,Intercept,0.513,0.087,"[0.341, 0.685]",1.24e-08,1.24e-08,☆☆☆,266
