term,estimate,std.error,statistic,p.value,conf.low,conf.high,phase,outcome,predictor,n_subjects,n_obs
Y_T1,0.7347926447889199,0.040742898553351954,18.03486425558861,1.2869222947508334e-44,0.6544773648357616,0.8151079247420783,refeed_T1T2,ESR (mm/h),TyG_T0,219,219
TyG_T0,-0.0035743191164465437,0.03621633433753295,-0.0986935641562786,0.9214752748586814,-0.07496651590350699,0.06781787767061391,refeed_T1T2,ESR (mm/h),TyG_T0,219,219
age,-0.004469910803334035,0.003143274848131417,-1.4220553465094736,0.15648669803208273,-0.010666156243918347,0.0017263346372502772,refeed_T1T2,ESR (mm/h),TyG_T0,219,219
sexM,0.00884472574079931,0.07130810240843947,0.12403535421737036,0.901405361228812,-0.13172284336238443,0.14941229484398305,refeed_T1T2,ESR (mm/h),TyG_T0,219,219
BMI_baseline,0.017436984011856088,0.007398676775072225,2.3567706147949505,0.01935037415562965,0.002852189665554738,0.032021778358157435,refeed_T1T2,ESR (mm/h),TyG_T0,219,219
FR_duration,-0.019153763746418258,0.023218075909354367,-0.8249505179152837,0.4103313326990313,-0.06492287524425652,0.026615347751420014,refeed_T1T2,ESR (mm/h),TyG_T0,219,219
diet_ketoKeto,-0.06873037102738234,0.07643030435919376,-0.8992554930093616,0.3695416797947134,-0.21939518647922085,0.08193444442445617,refeed_T1T2,ESR (mm/h),TyG_T0,219,219
(Intercept),-0.24680540418059096,0.09983139093982847,-2.472222432815229,0.014203623825654491,-0.44357897796782997,-0.05003183039335196,refeed_T1T2,Ferritin (µg/l),AIP_T0,223,223
Y_T1,1.0117826382935706,0.01601520909435464,63.17636144071474,8.220249144973308e-141,0.9802157143152652,1.043349562271876,refeed_T1T2,Ferritin (µg/l),AIP_T0,223,223
AIP_T0,-0.023550250252836153,0.01237857041599045,-1.9025016186371808,0.05844195798981929,-0.04794914439024779,8.486438845754889e-4,refeed_T1T2,Ferritin (µg/l),AIP_T0,223,223
age,0.0013187227361989757,9.944986915758735e-4,1.3260175678153379,0.18624089005698666,-6.414929817816237e-4,0.0032789384541795754,refeed_T1T2,Ferritin (µg/l),AIP_T0,223,223
sexM,0.043580230864731596,0.023521988596260632,1.852744324162273,0.06528949769528575,-0.0027829993286514823,0.08994346105811468,refeed_T1T2,Ferritin (µg/l),AIP_T0,223,223
BMI_baseline,0.005892519608227861,0.0021026419495781628,2.8024360540367,0.0055351233029135236,0.0017480880129309524,0.010036951203524769,refeed_T1T2,Ferritin (µg/l),AIP_T0,223,223
FR_duration,-0.0647929371857272,0.0065908743637995565,-9.830704335922873,4.509404848398557e-19,-0.0777839402233311,-0.05180193414812331,refeed_T1T2,Ferritin (µg/l),AIP_T0,223,223
diet_ketoKeto,-0.031572646926506874,0.022679126948823868,-1.3921456058582635,0.16531661105338333,-0.07627454698101313,0.013129253127999382,refeed_T1T2,Ferritin (µg/l),AIP_T0,223,223
(Intercept),-0.16511114977798752,0.09937003873220933,-1.6615788006578405,0.09805464995189798,-0.36097537108788225,0.030753071531907233,refeed_T1T2,Ferritin (µg/l),logHOMA_T0,223,223
Y_T1,1.0043296598934286,0.01580529739004977,63.54386349767165,2.5159540549137118e-141,0.9731764842947359,1.0354828354921213,refeed_T1T2,Ferritin (µg/l),logHOMA_T0,223,223
logHOMA_T0,-2.825232341182141e-4,0.011009949952037112,-0.025660719199358424,0.9795517562873127,-0.021983785521315847,0.02141873905307942,refeed_T1T2,Ferritin (µg/l),logHOMA_T0,223,223
age,0.001578964369857981,9.93550780435808e-4,1.589213557021604,0.11348159227371035,-3.793829592230202e-4,0.0035373116989389822,refeed_T1T2,Ferritin (µg/l),logHOMA_T0,223,223
sexM,0.02807333613786667,0.022279884560566343,1.260030592238987,0.2090242716480798,-0.01584163356532216,0.0719883058410555,refeed_T1T2,Ferritin (µg/l),logHOMA_T0,223,223
BMI_baseline,0.004118129751755429,0.002121217229101444,1.9413993509282803,0.05351672703963494,-6.291481769202592e-5,0.008299174321202883,refeed_T1T2,Ferritin (µg/l),logHOMA_T0,223,223
FR_duration,-0.06470704553646081,0.006654381332153661,-9.723976175485973,9.354357964937164e-19,-0.07782322456335812,-0.0515908665095635,refeed_T1T2,Ferritin (µg/l),logHOMA_T0,223,223
diet_ketoKeto,-0.035197845416946295,0.022795062043071825,-1.5440995664078083,0.1240348146291005,-0.08012826039654541,0.009732569562652817,refeed_T1T2,Ferritin (µg/l),logHOMA_T0,223,223
(Intercept),-0.22934485002764285,0.10093768937087721,-2.272142858203905,0.02406699893657143,-0.4282990034292026,-0.030390696626083097,refeed_T1T2,Ferritin (µg/l),TyG_T0,223,223
Y_T1,1.010403982107932,0.01614798923142099,62.571504577292714,5.848368267241905e-140,0.9785753406292238,1.0422326235866402,refeed_T1T2,Ferritin (µg/l),TyG_T0,223,223
TyG_T0,-0.016009767567301967,0.01112024579623071,-1.4396954762212717,0.15140799488047674,-0.037928429484330825,0.005908894349726891,refeed_T1T2,Ferritin (µg/l),TyG_T0,223,223
age,0.00155423659678015,9.887310276600163e-4,1.5719508676272549,0.11743238775917443,-3.946107146256981e-4,0.003503083908185998,refeed_T1T2,Ferritin (µg/l),TyG_T0,223,223
sexM,0.03310407608852478,0.02241437359735573,1.4769128365215676,0.14116223533604777,-0.011075979457454747,0.07728413163450432,refeed_T1T2,Ferritin (µg/l),TyG_T0,223,223
BMI_baseline,0.005186301671359478,0.002031800567877088,2.552564337935168,0.01138677343775585,0.001181502627689024,0.009191100715029932,refeed_T1T2,Ferritin (µg/l),TyG_T0,223,223
FR_duration,-0.06426284699952955,0.006621661714867879,-9.704942621160734,1.0651100343077818e-18,-0.07731453372630301,-0.05121116027275611,refeed_T1T2,Ferritin (µg/l),TyG_T0,223,223
diet_ketoKeto,-0.033285558906343854,0.02271822424531168,-1.4651479159165768,0.1443413763914618,-0.07806452204374317,0.011493404231055465,refeed_T1T2,Ferritin (µg/l),TyG_T0,223,223
(Intercept),-0.12518702367697498,0.07404114100969288,-1.690776532746659,0.09235608211506965,-0.2711421515493273,0.020768104195377307,refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,219,219
Y_T1,1.0642760478597382,0.056576029902313876,18.811430383103126,5.258567935070827e-47,0.9527493808433394,1.175802714876137,refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,219,219
AIP_T0,-0.01281052730318021,0.010955674145059057,-1.1693052507369144,0.24359989989408154,-0.03440712615300865,0.008786071546648231,refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,219,219
age,0.0015393261356417497,8.43490884067988e-4,1.8249469730104104,0.06942301379547366,-0.00012342268433105231,0.003202074955614552,refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,219,219
sexM,0.016881736340787837,0.020811106269524784,0.8111888009292899,0.41817133450544075,-0.024142586560124225,0.0579060592416999,refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,219,219
BMI_baseline,-8.627110167211481e-4,0.0019853126336272908,-0.4345466815193338,0.6643355697464675,-0.004776299534620052,0.003050877501177755,refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,219,219
FR_duration,0.0025764567750601523,0.006262623373155072,0.41140215873498215,0.6811952347065224,-0.00976886884769827,0.014921782397818575,refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,219,219
diet_ketoKeto,-0.015308513204124357,0.020563395924394462,-0.744454527861509,0.45742984660620956,-0.05584453197295844,0.02522750556470972,refeed_T1T2,Monocytes abs. (Tsd./µl),AIP_T0,219,219
(Intercept),-0.09516559350072414,0.07514995932068999,-1.2663425816988236,0.2067866835209365,-0.2433065023613462,0.052975315359897926,refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,219,219
Y_T1,1.0572437614545662,0.056849765201924536,18.597152647849025,2.3853572730547686e-46,0.9451774880772577,1.1693100348318748,refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,219,219
logHOMA_T0,-0.0011650696486865052,0.009910310266992165,-0.11756136965428333,0.906527045851244,-0.020700973371242156,0.018370834073869146,refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,219,219
age,0.0015976468004833364,8.471449519725853e-4,1.8859190469862332,0.06067963976208854,-7.23051762884664e-5,0.003267598777255139,refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,219,219
sexM,0.006796451913316882,0.01899539732458361,0.35779466979198155,0.7208546329827643,-0.030648617242664773,0.04424152106929854,refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,219,219
BMI_baseline,-0.0017999384915610187,0.001962296014362128,-0.9172614520883661,0.36005289268965046,-0.00566815502353123,0.002068278040409193,refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,219,219
FR_duration,0.002749385126166005,0.006291857380226474,0.4369751187950547,0.6625762614479523,-0.009653568636598647,0.015152338888930656,refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,219,219
diet_ketoKeto,-0.017422731123591474,0.02055860368704507,-0.8474666562384461,0.39769531444196105,-0.0579493030956098,0.02310384084842685,refeed_T1T2,Monocytes abs. (Tsd./µl),logHOMA_T0,219,219
(Intercept),-0.15241124881691498,0.0736947291622039,-2.068143143337349,0.039845870094161046,-0.2976835051828688,-0.007138992450961168,refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,219,219
Y_T1,1.0692869446546847,0.05611286200168905,19.056004390267923,9.412301252933155e-48,0.9586733069249795,1.1799005823843898,refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,219,219
TyG_T0,-0.02036935161347199,0.00971482178960543,-2.0967293126536393,0.03720899038343377,-0.039519894638914435,-0.00121880858802954,refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,219,219
age,0.0017245666929688902,8.388402402247469e-4,2.055894090758968,0.04102372317167644,7.098555068949615e-5,0.0033781478352482843,refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,219,219
sexM,0.016780370541442758,0.019348968638284378,0.8672488366248461,0.3867908760780565,-0.021361683366522066,0.05492242444940758,refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,219,219
BMI_baseline,-3.604485839839432e-4,0.0019111114052786466,-0.18860678816962456,0.8505822902898674,-0.004127766398538416,0.0034068692305705304,refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,219,219
FR_duration,0.0030802046734003698,0.006219983616456692,0.49521105895694545,0.6209664551912442,-0.009181066448623883,0.015341475795424622,refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,219,219
diet_ketoKeto,-0.014970783956712867,0.02037534926661746,-0.7347498077611204,0.46330767934058936,-0.05513611186898361,0.02519454395555788,refeed_T1T2,Monocytes abs. (Tsd./µl),TyG_T0,219,219
(Intercept),1.426599417847045,0.5423598437370037,2.6303559054398185,0.009193454945232897,0.35712209013137075,2.496076745562719,refeed_T1T2,Neutrophils abs. (Tsd./µl),AIP_T0,208,208
