Variable,Term,Estimate,SE,95% CI,P (raw),P (FDR),Signif.,n (subjects)
White Blood Cells (Tsd./µl)†,Diet: Keto (vs Non-Keto),-0.013,0.03,"[-0.071, 0.046]",0.6673,0.9672,ns,219
HDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-0.14,0.053,"[-0.245, -0.035]",0.0089,0.0543,ns,223
Insulin (mIU/l)†,"Baseline BMI (kg/m²), centered",0.026,0.01,"[0.007, 0.046]",0.0079,0.0543,ns,223
Serum Glucose (mg/dl),"Baseline BMI (kg/m²), centered",0.586,0.196,"[0.199, 0.973]",0.0031,0.0543,ns,223
Uric Acid (mg/dl),"Baseline BMI (kg/m²), centered",0.042,0.016,"[0.01, 0.073]",0.0091,0.0543,ns,223
ESR (mm/h)†,"Baseline BMI (kg/m²), centered",0.015,0.007,"[0.001, 0.028]",0.0321,0.1539,ns,219
Ferritin (µg/l)†,"Baseline BMI (kg/m²), centered",0.003,0.002,"[0, 0.007]",0.0832,0.3327,ns,223
Triglycerides (mg/dl)†,"Baseline BMI (kg/m²), centered",0.004,0.002,"[-0.001, 0.009]",0.1133,0.3885,ns,223
Neutrophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.005,0.004,"[-0.003, 0.013]",0.1826,0.4939,ns,208
Total Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.254,0.191,"[-0.631, 0.123]",0.1852,0.4939,ns,223
White Blood Cells (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.003,0.003,"[-0.002, 0.008]",0.2657,0.6376,ns,219
CRP (mg/l)†,"Baseline BMI (kg/m²), centered",0.008,0.009,"[-0.009, 0.025]",0.3660,0.7321,ns,223
GOT/AST (U/l)†,"Baseline BMI (kg/m²), centered",-0.003,0.003,"[-0.008, 0.003]",0.3455,0.7321,ns,221
GFR (ml/min),"Baseline BMI (kg/m²), centered",0.058,0.078,"[-0.095, 0.212]",0.4552,0.8404,ns,223
Alkaline Phosphatase (U/l),"Baseline BMI (kg/m²), centered",0.032,0.066,"[-0.098, 0.161]",0.6278,0.8863,ns,223
Immature Granulocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.003,0.005,"[-0.008, 0.013]",0.5807,0.8863,ns,167
LDL-C (mg/dl),"Baseline BMI (kg/m²), centered",-0.083,0.168,"[-0.414, 0.248]",0.6214,0.8863,ns,223
Platelets (Tsd./µl)†,"Baseline BMI (kg/m²), centered",-0.001,0.002,"[-0.004, 0.002]",0.5409,0.8863,ns,219
Basophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",-0.001,0.005,"[-0.01, 0.008]",0.7937,0.9136,ns,213
Eosinophils abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0.001,0.005,"[-0.01, 0.012]",0.8375,0.9136,ns,217
GPT/ALT (U/l)†,"Baseline BMI (kg/m²), centered",-0.001,0.003,"[-0.006, 0.005]",0.8091,0.9136,ns,223
Lymphocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",-0.001,0.003,"[-0.005, 0.004]",0.8346,0.9136,ns,219
Non-HDL Cholesterol (mg/dl),"Baseline BMI (kg/m²), centered",-0.055,0.173,"[-0.397, 0.287]",0.7530,0.9136,ns,223
Gamma-GT (U/l),"Baseline BMI (kg/m²), centered",-0.004,0.047,"[-0.096, 0.088]",0.9323,0.9323,ns,222
Monocytes abs. (Tsd./µl)†,"Baseline BMI (kg/m²), centered",0,0.004,"[-0.007, 0.007]",0.9235,0.9323,ns,219
Ferritin (µg/l)†,"Refeeding duration (days), centered",-0.065,0.006,"[-0.078, -0.052]",1.12e-19,2.69e-18,☆☆☆,223
Uric Acid (mg/dl),"Refeeding duration (days), centered",-0.395,0.053,"[-0.501, -0.29]",3.23e-12,3.88e-11,☆☆☆,223
HDL-C (mg/dl),"Refeeding duration (days), centered",0.551,0.158,"[0.239, 0.863]",6.02e-04,0.0048,☆☆,223
CRP (mg/l)†,"Refeeding duration (days), centered",-0.075,0.027,"[-0.128, -0.021]",0.0065,0.0388,☆,223
GFR (ml/min),"Refeeding duration (days), centered",0.641,0.28,"[0.088, 1.194]",0.0233,0.0628,ns,223
GOT/AST (U/l)†,"Refeeding duration (days), centered",-0.023,0.01,"[-0.042, -0.004]",0.0194,0.0628,ns,221
Gamma-GT (U/l),"Refeeding duration (days), centered",-0.348,0.158,"[-0.659, -0.036]",0.0288,0.0628,ns,222
Insulin (mIU/l)†,"Refeeding duration (days), centered",0.073,0.033,"[0.009, 0.138]",0.0266,0.0628,ns,223
Neutrophils abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.039,0.016,"[-0.07, -0.008]",0.0137,0.0628,ns,208
Serum Glucose (mg/dl),"Refeeding duration (days), centered",1.605,0.696,"[0.232, 2.978]",0.0221,0.0628,ns,223
White Blood Cells (Tsd./µl)†,"Refeeding duration (days), centered",-0.021,0.009,"[-0.039, -0.003]",0.0237,0.0628,ns,219
Platelets (Tsd./µl)†,"Refeeding duration (days), centered",-0.012,0.006,"[-0.023, -0.001]",0.0404,0.0807,ns,219
Alkaline Phosphatase (U/l),"Refeeding duration (days), centered",-0.441,0.225,"[-0.885, 0.003]",0.0515,0.0950,ns,223
Triglycerides (mg/dl)†,"Refeeding duration (days), centered",0.016,0.008,"[-0.001, 0.032]",0.0631,0.1082,ns,223
Monocytes abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.018,0.012,"[-0.041, 0.005]",0.1316,0.2105,ns,219
Immature Granulocytes abs. (Tsd./µl)†,"Refeeding duration (days), centered",-0.028,0.022,"[-0.072, 0.015]",0.2018,0.3027,ns,167
GPT/ALT (U/l)†,"Refeeding duration (days), centered",-0.01,0.009,"[-0.028, 0.007]",0.2333,0.3294,ns,223
Basophils abs. (Tsd./µl)†,"Refeeding duration (days), centered",0.015,0.018,"[-0.02, 0.05]",0.3985,0.5182,ns,213
ESR (mm/h)†,"Refeeding duration (days), centered",-0.019,0.023,"[-0.064, 0.026]",0.4120,0.5182,ns,219
